metric,contrast,estimate,SE,df,t.ratio,p.value
H,Historical Bohol - Modern Bohol,-0.06906239612155103,0.15746145749347712,19.000000000000004,-0.4385987353407545,0.9710076917178392
H,Historical Bohol - Historical Sulu,-0.3910671039684202,0.21083861334450393,35.45467150685741,-1.8548172830629859,0.2655696847567238
H,Historical Bohol - Modern Sulu,0.053509802171904805,0.210838613344504,35.45467150685749,0.25379507730147793,0.9941596868943487
H,Modern Bohol - Historical Sulu,-0.3220047078468692,0.210838613344504,35.45467150685749,-1.5272568090775815,0.4324423290109679
H,Modern Bohol - Modern Sulu,0.12257219829345584,0.210838613344504,35.45467150685749,0.5813555512868819,0.9370384606667413
H,Historical Sulu - Modern Sulu,0.444576906140325,0.20072476109950008,19.000000000000004,2.214858314963675,0.15502652660289618
J,Historical Bohol - Modern Bohol,-0.04719101107639482,0.03874562566792696,19.000000000000004,-1.2179700356589884,0.6234386703977886
J,Historical Bohol - Historical Sulu,-0.022988579896997367,0.0472244595385606,37.49123286742694,-0.4867939225059061,0.9615637119836264
J,Historical Bohol - Modern Sulu,0.04299294080311618,0.04722445953856061,37.49123286742702,0.9103956132734726,0.799420898358
J,Modern Bohol - Historical Sulu,0.02420243117939745,0.04722445953856059,37.49123286742702,0.5124977906763599,0.9555994756323624
J,Modern Bohol - Modern Sulu,0.090183951879511,0.047224459538560595,37.49123286742702,1.909687326455739,0.24135498612998252
J,Historical Sulu - Modern Sulu,0.06598152070011354,0.049391175336780266,19.000000000000036,1.3358969542678385,0.552519529526798
simpson,Historical Bohol - Modern Bohol,-0.0077709843652322315,0.02984281292416793,19.000000000000053,-0.26039718122345534,0.9936018716815679
simpson,Historical Bohol - Historical Sulu,-0.040055569937918215,0.035200362487224,37.87854835208882,-1.1379306094491615,0.668741074935039
simpson,Historical Bohol - Modern Sulu,0.04485336688429846,0.03520036248722401,37.878548352088735,1.274230255457682,0.5846045709907631
simpson,Modern Bohol - Historical Sulu,-0.032284585572685986,0.03520036248722401,37.878548352088735,-0.9171662815803018,0.7958446640217147
simpson,Modern Bohol - Modern Sulu,0.05262435124953069,0.03520036248722401,37.878548352088735,1.4949945833265417,0.4504504444192585
simpson,Historical Sulu - Modern Sulu,0.08490893682221667,0.0380422713602078,19.000000000000004,2.2319628609513416,0.15043761134561817
invsimpson,Historical Bohol - Modern Bohol,-0.6617425759135352,2.464097949895387,18.99999999999997,-0.26855368145638425,0.9929946177155691
invsimpson,Historical Bohol - Historical Sulu,-5.2320540394218895,3.2749508017347218,35.64613716002445,-1.5975977522014992,0.392863913631633
invsimpson,Historical Bohol - Modern Sulu,0.10801444607810728,3.2749508017347226,35.64613716002453,0.03298200572078599,0.9999868503386403
invsimpson,Modern Bohol - Historical Sulu,-4.570311463508355,3.274950801734722,35.64613716002453,-1.3955359149479398,0.5103416148539143
invsimpson,Modern Bohol - Modern Sulu,0.7697570219916425,3.274950801734722,35.64613716002453,0.23504384297434538,0.9953441616425607
invsimpson,Historical Sulu - Modern Sulu,5.340068485499997,3.1411208824801378,19.00000000000002,1.7000518876190573,0.35094387254699677
unbias_simp,Historical Bohol - Modern Bohol,-0.010174494791242009,0.03010965982528489,18.99999999999997,-0.3379146377036739,0.9862933761562824
unbias_simp,Historical Bohol - Historical Sulu,-0.03924349899907738,0.03547258518188805,37.888035961430575,-1.106305018307905,0.6879061753778898
unbias_simp,Historical Bohol - Modern Sulu,0.044940970026247445,0.035472585181888054,37.888035961430575,1.2669211955037845,0.5891398239318875
unbias_simp,Modern Bohol - Historical Sulu,-0.02906900420783537,0.03547258518188804,37.888035961430404,-0.8194780295482305,0.8448908560300913
unbias_simp,Modern Bohol - Modern Sulu,0.055115464817489454,0.03547258518188805,37.888035961430404,1.5537481842634595,0.4166180373485536
unbias_simp,Historical Sulu - Modern Sulu,0.08418446902532482,0.038382435749192104,19.000000000000004,2.1933071047242434,0.1609704305647035
alpha,Historical Bohol - Modern Bohol,-3.4731119705589757,2.240978099110198,19.000000000000053,-1.5498196845109768,0.42921223254167484
alpha,Historical Bohol - Historical Sulu,-7.535758192834651,3.2509867091937887,33.285570290260225,-2.317991079915378,0.11427300118555062
alpha,Historical Bohol - Modern Sulu,-4.842973220032173,3.2509867091937883,33.285570290260225,-1.4896933310543066,0.4548626019385875
alpha,Modern Bohol - Historical Sulu,-4.062646222275675,3.2509867091937887,33.285570290260225,-1.2496655894613515,0.6004864455524661
alpha,Modern Bohol - Modern Sulu,-1.369861249473197,3.2509867091937883,33.28557029026029,-0.42136784060028,0.9744329090274199
alpha,Historical Sulu - Modern Sulu,2.692784972802478,2.856697764224241,19.000000000000004,0.9426215844481278,0.782588927425248
